label,index,filename,mjd,x_star,y_star,flux
"StarA_(2534,3467)",28,V462_sloan_r_60.000secs_00000183_red.fits,60963.18532891203,2579.0004151087323,3437.0011792107443,3142.112283886774
"StarA_(2534,3467)",29,V462_sloan_r_60.000secs_00000184_red.fits,60963.18603505787,2579.00204600054,3436.9883772875332,2958.24664471736
"StarA_(2534,3467)",30,V462_sloan_r_60.000secs_00000185_red.fits,60963.18674136574,2579.014236219798,3437.003345316072,3302.4735260867237
"StarA_(2534,3467)",31,V462_sloan_r_60.000secs_00000186_red.fits,60963.18744858796,2579.0606543023014,3436.987747879234,2872.3814112706327
"StarA_(2534,3467)",32,V462_sloan_r_60.000secs_00000187_red.fits,60963.18815491898,2579.0025775926074,3436.989857608677,3200.8084916052526
"StarA_(2534,3467)",33,V462_sloan_r_60.000secs_00000188_red.fits,60963.18886112268,2578.987046186956,3436.994564390321,2867.9910596264226
"StarA_(2534,3467)",34,V462_sloan_r_60.000secs_00000189_red.fits,60963.18956741898,2579.010265568296,3436.9881190492083,3543.387440026285
"StarA_(2534,3467)",35,V462_sloan_r_60.000secs_00000190_red.fits,60963.19027400463,2579.003296596149,3437.001964250592,3229.0468721426946
"StarA_(2534,3467)",36,V462_sloan_r_60.000secs_00000191_red.fits,60963.19098060185,2578.9982169340456,3437.0008817738017,3152.5573174020237
"StarA_(2534,3467)",37,V462_sloan_r_60.000secs_00000192_red.fits,60963.191686736114,2579.005497956891,3437.007695523055,3163.6050545713642
"StarA_(2534,3467)",38,V462_sloan_r_60.000secs_00000193_red.fits,60963.192393495374,2579.016199385831,3437.0253708234686,3266.2626915559727
"StarA_(2534,3467)",39,V462_sloan_r_60.000secs_00000194_red.fits,60963.1931002662,2579.00216540232,3436.9831122261294,3349.511513338435
"StarA_(2534,3467)",40,V462_sloan_r_60.000secs_00000195_red.fits,60963.19380664352,2578.9961942995087,3437.007321331673,3056.4114393262403
"StarA_(2534,3467)",41,V462_sloan_r_60.000secs_00000196_red.fits,60963.194516145835,2579.0440498962594,3436.9879157828245,2745.1079251601377
"StarA_(2534,3467)",42,V462_sloan_r_60.000secs_00000197_red.fits,60963.19522284722,2578.969302244725,3436.9854291154916,2733.531743578208
"StarA_(2534,3467)",43,V462_sloan_r_60.000secs_00000198_red.fits,60963.19592976852,2579.0117553160985,3436.9998493366056,2634.30453361649
"StarA_(2534,3467)",44,V462_sloan_r_60.000secs_00000199_red.fits,60963.19663625,2578.9982102417503,3436.9973149883754,3383.1428794076674
"StarA_(2534,3467)",45,V462_sloan_r_60.000secs_00000200_red.fits,60963.197342824074,2578.710279349356,3436.9512335680984,2850.5443590124587
"StarA_(2534,3467)",46,V462_sloan_r_60.000secs_00000201_red.fits,60963.19804909722,2578.997139780935,3437.0018879128934,2849.0495559765777
"StarA_(2534,3467)",47,V462_sloan_r_60.000secs_00000202_red.fits,60963.19875592593,2579.0123701740386,3437.000106067081,2554.673280058992
"StarA_(2534,3467)",48,V462_sloan_r_60.000secs_00000203_red.fits,60963.19946261574,2578.993957520448,3437.004781005187,2616.426594121711
"StarA_(2534,3467)",49,V462_sloan_r_60.000secs_00000204_red.fits,60963.200168668984,2578.9866813229446,3437.019589957653,2836.5424275384066
"StarA_(2534,3467)",50,V462_sloan_r_60.000secs_00000205_red.fits,60963.20087521991,2578.988595209632,3437.0001193691533,2807.851037350678
"StarA_(2534,3467)",51,V462_sloan_r_60.000secs_00000206_red.fits,60963.20158155093,2579.0052578935743,3436.9999546878807,3077.9126558257553
"StarA_(2534,3467)",52,V462_sloan_r_60.000secs_00000207_red.fits,60963.20228828704,2578.9994902030016,3437.0040203249696,2776.1304967079827
"StarA_(2534,3467)",53,V462_sloan_r_60.000secs_00000208_red.fits,60963.202994467596,2579.0052891692553,3437.0010019740253,3160.1534864784935
"StarA_(2534,3467)",54,V462_sloan_r_60.000secs_00000209_red.fits,60963.20370106481,2578.9912582724614,3437.0111427815777,2895.097830265876
"StarA_(2534,3467)",55,V462_sloan_r_60.000secs_00000210_red.fits,60963.20441232639,2579.0803228412096,3437.0221825947615,2992.6354324472645
"StarA_(2534,3467)",56,V462_sloan_r_60.000secs_00000211_red.fits,60963.20511847222,2579.0058397854136,3437.000447601494,3355.6876988746576
"StarA_(2534,3467)",57,V462_sloan_r_60.000secs_00000212_red.fits,60963.20582509259,2579.037618370175,3437.0580798343067,3107.958670922009
